id, orig-N, orig-M, orig-time, basic-N, basic-M, basic-time, known-N, known-M, known-time, all_dom-N, all_dom-M, all_dom-time, fast_dom-N, fast_dom-M, fast_dom-time, dom12-N, dom12-M, dom12-time, dom3-N, dom3-M, dom3-time, dom4-N, dom4-M, dom4-time, dom5-N, dom5-M, dom5-time, dom_nca-N, dom_nca-M, dom_nca-time, dom_nca_full-N, dom_nca_full-M, dom_nca_full-time, dom_mixed-N, dom_mixed-M, dom_mixed-time, dom_mixed_full-N, dom_mixed_full-M, dom_mixed_full-time
e_011, 4086, 15076, 0.00, 2219, 7792, 0.00, 181, 448, 0.01, 174, 410, 0.02, 174, 410, 0.03, 280, 769, 0.03, 1469, 4780, 0.04, 1456, 4728, 0.05, 224, 591, 0.05, 2219, 7792, 0.06, 1994, 6451, 0.06, 2219, 7792, 0.06, 2219, 7792, 0.06
e_012, 4092, 15066, 0.00, 2357, 8332, 0.00, 239, 587, 0.01, 232, 535, 0.01, 232, 535, 0.02, 275, 722, 0.02, 1438, 4560, 0.03, 1426, 4503, 0.04, 232, 589, 0.05, 2357, 8332, 0.05, 2112, 6840, 0.06, 2357, 8332, 0.06, 2357, 8332, 0.06
e_013, 1924, 7038, 0.00, 519, 2636, 0.00, 138, 504, 0.00, 102, 268, 0.01, 102, 268, 0.01, 195, 853, 0.01, 217, 836, 0.01, 204, 785, 0.02, 123, 461, 0.02, 519, 2636, 0.02, 421, 1678, 0.02, 519, 2636, 0.02, 519, 2636, 0.02
e_014, 1951, 7847, 0.00, 670, 3275, 0.00, 141, 628, 0.01, 100, 356, 0.02, 111, 438, 0.03, 201, 1020, 0.04, 262, 1229, 0.04, 248, 1123, 0.04, 104, 490, 0.05, 670, 3275, 0.05, 513, 2058, 0.05, 670, 3275, 0.05, 670, 3275, 0.05
e_015, 1979, 9390, 0.00, 909, 4984, 0.00, 139, 622, 0.00, 46, 98, 0.01, 46, 98, 0.01, 87, 264, 0.02, 364, 1439, 0.02, 405, 1596, 0.03, 80, 240, 0.03, 909, 4984, 0.03, 809, 3826, 0.03, 909, 4984, 0.03, 909, 4984, 0.03
e_016, 1939, 10655, 0.00, 285, 1016, 0.00, 14, 38, 0.00, 12, 24, 0.00, 12, 24, 0.00, 12, 27, 0.00, 242, 735, 0.00, 242, 735, 0.00, 12, 27, 0.01, 285, 1016, 0.01, 283, 984, 0.01, 285, 1016, 0.01, 285, 1016, 0.01
e_017, 886, 3800, 0.00, 188, 740, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 178, 648, 0.00, 178, 648, 0.00, 0, 0, 0.00, 188, 740, 0.00, 159, 464, 0.00, 188, 740, 0.00, 188, 740, 0.00
e_018, 1923, 5964, 0.00, 707, 2734, 0.00, 150, 502, 0.00, 96, 212, 0.00, 96, 212, 0.01, 106, 258, 0.01, 529, 1858, 0.01, 525, 1836, 0.01, 96, 233, 0.01, 707, 2734, 0.01, 680, 2486, 0.02, 707, 2734, 0.02, 707, 2734, 0.02
e_019, 2034, 11718, 0.00, 1669, 10045, 0.00, 349, 1630, 0.01, 204, 538, 0.02, 204, 538, 0.04, 212, 713, 0.05, 991, 4605, 0.06, 1040, 4799, 0.08, 205, 672, 0.09, 1669, 10045, 0.09, 1573, 8589, 0.09, 1669, 10045, 0.09, 1669, 10045, 0.09
e_020, 1906, 7039, 0.00, 593, 2888, 0.00, 130, 476, 0.00, 89, 235, 0.01, 89, 235, 0.01, 169, 662, 0.01, 222, 802, 0.01, 210, 767, 0.02, 103, 377, 0.02, 593, 2888, 0.02, 394, 1575, 0.02, 593, 2888, 0.02, 593, 2888, 0.02
